creator_name,channel_id,official_channel_title,subscriber_count,video_count,view_count
MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,497000000,985,127960870175
Dude Perfect,UCmo9ZEJ3ipgaZdkiRRYtLAg,Dude Perfect Plus,1440000,32,105411371
SSSniperWolf,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,35000000,4024,26616025538
Zach King,UCq8DICunczvLuJJq414110A,Zach King,43000000,851,23121940243
Alan Chikin Chow,UC5gxP-2QqIh_09djvlm9Xcg,Alan's Universe,101000000,1704,62111966309
The Try Guys,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,7880000,1443,3012720415
Good Mythical Morning,UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,19600000,4563,10977838138
KSI,UCGmnsW623G1r-Chmo5RB4Yw,KSI,18400000,1504,5000747517
Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,23200000,485,7803071838
Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,23600000,790,6180075902
Jake Paul,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,21000000,1615,8001456839
FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,FaZe Rug,29500000,2574,10767463860
TheOdd1sOut,UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,20700000,203,5763696271
Jaiden Animations,UCGwu0nbY2wSkW8N-cghnLpA,JaidenAnimations,15100000,253,3146823143
LankyBox,UCSf0s2ogUVYpJPuzW1zpAOg,LankyBox,42000000,9244,35774481521
Preston,UC70Dib4MvFfT1tU6MqeyHpQ,Preston,32100000,4331,13320465165
Unspeakable,UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,19800000,1120,12304752907
Aphmau,UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,24900000,5801,29398493154
Rebecca Zamolo,UCfw8x3VR-ElcaWW2Tg_jgSA,Rebecca Zamolo,22500000,1183,10472345807
Ben Azelart,UCwVg9btOceLQuNCdoQk9CXg,Ben Azelart,50400000,406,12834841886
Airrack,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,18600000,290,4723840964
Amp,UCJbYdyufHR-cxOuY96KIoqA,AMP,7890000,282,1248116466
AMP,UCJbYdyufHR-cxOuY96KIoqA,AMP,7890000,282,1248116466
RDCworld1,UC4G10tk3AHFuyMIuD3rHOBA,RDCworld1,7300000,535,1910184207
Ryan Trahan,UCnmGIkw-KdI0W5siakKPKog,Ryan Trahan,23300000,510,6181130471
