creator_name,channel_id,official_channel_title,subscriber_count,video_count,view_count,category,views_per_video,subs_per_video
Veritasium,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,20800000,509,4320842698,Education,8488885.457760314,40864.44007858546
TED,UCAuUUnT6oDeKwE6v1NGQxug,TED,27500000,5670,3158379521,Education,557033.4252204585,4850.088183421517
TED-Ed,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,22700000,2360,4618538267,Education,1957007.7402542373,9618.64406779661
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,25300000,367,3725347029,Education,10150809.343324251,68937.32970027249
Mark Rober,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,78200000,258,17451960551,Education,67643257.94961241,303100.7751937985
CrashCourse,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,17100000,1694,2261871152,Education,1335225.0011806376,10094.451003541913
Vsauce,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,24900000,641,6722317531,Education,10487234.83775351,38845.553822152884
Khan Academy,UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy,9370000,9098,2220168142,Education,244028.1536601451,1029.8966805891405
CGP Grey,UC2C_jShtL725hvbm1arSV9w,CGP Grey,7000000,195,1244063402,Education,6379812.317948718,35897.4358974359
AsapSCIENCE,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,10800000,552,2059602833,Education,3731164.552536232,19565.217391304348
MinutePhysics,UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,5960000,310,584466870,Education,1885377.0,19225.8064516129
MinuteEarth,UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,3290000,494,618810538,Education,1252652.9109311742,6659.919028340081
Numberphile,UCoxcjq-8xIDTYp3uz647V5A,Numberphile,4750000,806,723133941,Education,897188.5124069479,5893.300248138958
3Blue1Brown,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,8380000,236,750104687,Education,3178409.690677966,35508.47457627119
SmarterEveryDay,UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay,11900000,396,1273422660,Education,3215713.787878788,30050.50505050505
Practical Engineering,UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering,4760000,243,541289737,Education,2227529.781893004,19588.477366255145
Real Engineering,UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering,5070000,287,709130618,Education,2470838.3902439023,17665.505226480836
Physics Girl,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,3540000,314,538728538,Education,1715695.9808917197,11273.885350318471
SciShow,UCZYTClx2T1of7BRZ86-8fow,SciShow,8390000,4157,2225361048,Education,535328.6139042579,2018.2824152032715
Big Think,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,8760000,10064,1035528230,Education,102894.29948330684,870.429252782194
National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,26100000,11412,6991777601,Education,612668.9100070102,2287.0662460567823
Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,6710000,742,1918036065,Education,2584954.265498652,9043.126684636118
NileRed,UCFhXFikryT4aFcLkLw2LBLA,NileRed,10700000,398,4579753058,Education,11506917.23115578,26884.422110552765
The Organic Chemistry Tutor,UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,10700000,3106,1742760775,Education,561094.905022537,3444.945267224726
Professor Dave Explains,UC0cd_-e49hZpWLH3UIwoWRA,Professor Dave Explains,4320000,2075,512164861,Education,246826.43903614458,2081.9277108433735
Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,21000000,1827,5434126347,Science & Technology,2974343.922824302,11494.252873563219
Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,16800000,7793,9560863422,Science & Technology,1226852.742461183,2155.7808289490567
Mrwhosetheboss,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,22600000,1910,8703734539,Science & Technology,4556929.078010472,11832.460732984293
Unbox Therapy,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,25400000,2520,5146998340,Science & Technology,2042459.6587301588,10079.36507936508
JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,9980000,1554,2958205410,Science & Technology,1903607.084942085,6422.136422136422
Dave2D,UCVYamHliCI9rw1tHR1xbkfw,Dave2D,3690000,833,859880046,Science & Technology,1032268.9627851141,4429.771908763505
TechLinked,UCeeFfhMcJa1kjtfZAGskOCA,TechLinked,1990000,1316,660531507,Science & Technology,501923.6375379939,1512.1580547112462
Austin Evans,UCXGgrKt94gR6lmN4aN3mYTg,Austin Evans,5780000,2692,1686765561,Science & Technology,626584.5323179791,2147.102526002972
iJustine,UCey_c7U86mJGz1VJWH5CYPA,iJustine,7060000,2866,1576027087,Science & Technology,549904.775645499,2463.363572923936
Snazzy Labs,UCO2x-p9gg9TLKneXlibGR7w,Snazzy Labs,1250000,1238,264350561,Science & Technology,213530.34006462037,1009.6930533117932
Hardware Canucks,UCTzLRZUgelatKZ4nyIKcAbg,Hardware Canucks,1920000,2413,572028827,Science & Technology,237061.26274347285,795.6900124326564
Techquickie,UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie,4310000,1282,919150936,Science & Technology,716966.4087363494,3361.9344773790954
The Verge,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,3510000,6116,1138544754,Science & Technology,186158.3966644866,573.9045127534337
CNET,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,4080000,24390,2072085593,Science & Technology,84956.35887658877,167.28167281672816
Android Authority,UCgyqtNWZmIxTx3b6OxTSALw,Android Authority,3420000,5366,863138563,Science & Technology,160853.254379426,637.3462541930675
Sara Dietschy,UC3fg6pL63upkXCc0T203wVg,Sara Dietschy,932000,742,109978256,Science & Technology,148218.67385444744,1256.0646900269542
ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,5200000,570,564430804,Science & Technology,990229.4807017543,9122.807017543859
Tech Burner,UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,12500000,1603,2502013359,Science & Technology,1560831.7897691827,7797.878976918279
This Is,UCPT9_sNLoBLjH1uea7zpVIA,This is Хорошо,6330000,1972,2537313049,Science & Technology,1286669.9031440162,3209.9391480730224
Matthew Moniz,UCVlMUh4WsDQvOxCJJXmWwdw,Matthew Moniz,930000,2080,396732209,Science & Technology,190736.6389423077,447.11538461538464
Hayls World,UCIxLxlan8q9WA7sjuq6LdTQ,Hayls World,2670000,526,361786751,Science & Technology,687807.5114068441,5076.045627376426
Rene Ritchie,UCLBHPoY3NugnZYURxln3fKQ,Rene Ritchie,309000,499,55618254,Science & Technology,111459.42685370741,619.2384769539078
Fireship,UCsBjURrPoezykLs9EqgamOA,Fireship,4210000,813,704638403,Science & Technology,866713.9028290283,5178.351783517835
NetworkChuck,UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck,5290000,598,405764989,Science & Technology,678536.77090301,8846.153846153846
Low Level Learning,UC6biysICWOJ-C3P4Tyeggzg,Low Level,1120000,359,133030014,Science & Technology,370557.1420612813,3119.777158774373
MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,497000000,985,127960870175,Entertainment,129909512.86802031,504568.52791878174
Dude Perfect,UCmo9ZEJ3ipgaZdkiRRYtLAg,Dude Perfect Plus,1440000,32,105411371,Entertainment,3294105.34375,45000.0
SSSniperWolf,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,35000000,4024,26616025538,Entertainment,6614320.461729622,8697.813121272366
Zach King,UCq8DICunczvLuJJq414110A,Zach King,43000000,851,23121940243,Entertainment,27170317.559341952,50528.78965922444
Alan Chikin Chow,UC5gxP-2QqIh_09djvlm9Xcg,Alan's Universe,101000000,1704,62111966309,Entertainment,36450684.453638494,59272.30046948357
The Try Guys,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,7880000,1443,3012720415,Entertainment,2087817.3354123353,5460.845460845461
Good Mythical Morning,UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,19600000,4563,10977838138,Entertainment,2405837.8562349332,4295.419680035065
KSI,UCGmnsW623G1r-Chmo5RB4Yw,KSI,18400000,1504,5000747517,Entertainment,3324965.104388298,12234.04255319149
Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,23200000,485,7803071838,Entertainment,16088807.913402062,47835.051546391755
Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,23600000,790,6180075902,Entertainment,7822880.888607595,29873.41772151899
Jake Paul,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,21000000,1615,8001456839,Entertainment,4954462.439009288,13003.095975232198
FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,FaZe Rug,29500000,2574,10767463860,Entertainment,4183163.8927738927,11460.761460761461
TheOdd1sOut,UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,20700000,203,5763696271,Entertainment,28392592.467980295,101970.4433497537
Jaiden Animations,UCGwu0nbY2wSkW8N-cghnLpA,JaidenAnimations,15100000,253,3146823143,Entertainment,12438036.138339922,59683.79446640316
LankyBox,UCSf0s2ogUVYpJPuzW1zpAOg,LankyBox,42000000,9244,35774481521,Entertainment,3870021.8001947207,4543.487667676331
Preston,UC70Dib4MvFfT1tU6MqeyHpQ,Preston,32100000,4331,13320465165,Entertainment,3075609.597090741,7411.6832140383285
Unspeakable,UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,19800000,1120,12304752907,Entertainment,10986386.524107143,17678.571428571428
Aphmau,UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,24900000,5801,29398493154,Entertainment,5067831.952077228,4292.363385623168
Rebecca Zamolo,UCfw8x3VR-ElcaWW2Tg_jgSA,Rebecca Zamolo,22500000,1183,10472345807,Entertainment,8852363.319526628,19019.442096365172
Ben Azelart,UCwVg9btOceLQuNCdoQk9CXg,Ben Azelart,50400000,406,12834841886,Entertainment,31612911.049261082,124137.93103448275
Airrack,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,18600000,290,4723840964,Entertainment,16289106.772413794,64137.93103448276
Amp,UCJbYdyufHR-cxOuY96KIoqA,AMP,7890000,282,1248116466,Entertainment,4425944.914893617,27978.72340425532
AMP,UCJbYdyufHR-cxOuY96KIoqA,AMP,7890000,282,1248116466,Entertainment,4425944.914893617,27978.72340425532
RDCworld1,UC4G10tk3AHFuyMIuD3rHOBA,RDCworld1,7300000,535,1910184207,Entertainment,3570437.770093458,13644.859813084113
Ryan Trahan,UCnmGIkw-KdI0W5siakKPKog,Ryan Trahan,23300000,510,6181130471,Entertainment,12119863.66862745,45686.27450980392
